ID         Имя процесса                   Приоритет       Время запуска             Состояние            Время CPU           
7532       RuntimeBroker                  8               15.01.2025 11:58:07       Работает             00:00:02.8906250    
7584       svchost                        8               15.01.2025 11:58:07       Работает             00:00:00.2656250    
8092       dllhost                        8               15.01.2025 11:58:08       Работает             00:00:02.0625000    
8268       ctfmon                         13              15.01.2025 11:58:09       Работает             00:01:16.8593750    
8668       NisSrv                         8               Нет доступа               Работает             Нет доступа         
8804       SecurityHealthSystray          8               15.01.2025 11:58:11       Работает             00:00:00.1562500    
8832       SecurityHealthService          8               Нет доступа               Работает             Нет доступа         
8928       OneDrive                       8               15.01.2025 11:58:12       Работает             00:00:16.0937500    
9120       ProtonVPN                      8               15.01.2025 11:58:14       Работает             00:40:41.2812500    
5228       SearchIndexer                  8               Нет доступа               Работает             Нет доступа         
4428       browser                        8               15.01.2025 11:58:16       Работает             00:16:31.2500000    
8024       TextInputHost                  13              15.01.2025 11:58:17       Работает             00:00:41.6093750    
9236       browser                        8               15.01.2025 11:58:17       Работает             00:00:00.5312500    
9532       browser                        10              15.01.2025 11:58:18       Работает             00:34:19.7500000    
9564       browser                        8               15.01.2025 11:58:18       Работает             00:03:17.3281250    
9704       browser                        8               15.01.2025 11:58:18       Работает             00:00:07.1250000    
9864       browser                        4               15.01.2025 11:58:19       Работает             00:00:06.2500000    
9872       browser                        4               15.01.2025 11:58:19       Работает             00:00:20.7500000    
10012      browser                        8               15.01.2025 11:58:19       Работает             00:01:00.6250000    
10900      browser                        8               15.01.2025 11:58:23       Работает             00:00:02.9218750    
9980       svchost                        8               15.01.2025 11:58:24       Работает             00:00:01.3437500    
10468      svchost                        8               Нет доступа               Работает             Нет доступа         
11276      svchost                        8               Нет доступа               Работает             Нет доступа         
11400      svchost                        8               15.01.2025 11:58:24       Работает             00:00:00.3437500    
11768      svchost                        8               Нет доступа               Работает             Нет доступа         
12168      ProtonVPNService               8               Нет доступа               Работает             Нет доступа         
11092      NhNotifSys                     8               15.01.2025 11:58:29       Работает             00:00:00.2812500    
8468       steam                          8               15.01.2025 11:58:33       Работает             00:09:16            
3248       steamwebhelper                 8               15.01.2025 11:58:37       Работает             00:08:25.2500000    
4776       steamwebhelper                 8               15.01.2025 11:58:37       Работает             00:00:00.2031250    
6092       steamservice                   8               Нет доступа               Работает             Нет доступа         
6600       RadeonSoftware                 8               15.01.2025 11:58:37       Работает             00:00:44.3750000    
11080      steamwebhelper                 10              15.01.2025 11:58:38       Работает             00:00:42.8281250    
8212       steamwebhelper                 8               15.01.2025 11:58:38       Работает             00:00:13.6562500    
6468       cncmd                          8               15.01.2025 11:58:39       Работает             00:00:00.0781250    
10572      AMDRSServ                      8               15.01.2025 11:58:39       Работает             00:00:23.1406250    
11540      svchost                        8               Нет доступа               Работает             Нет доступа         
10336      CrossDeviceService             8               15.01.2025 11:58:39       Работает             00:01:15.2187500    
12672      steamwebhelper                 8               15.01.2025 11:58:42       Работает             00:00:03.9843750    
12756      steamwebhelper                 8               15.01.2025 11:58:42       Работает             00:00:36.3593750    
12824      RuntimeBroker                  8               15.01.2025 11:58:42       Работает             00:00:00.2968750    
10828      PhoneExperienceHost            8               15.01.2025 11:58:56       Работает             00:00:41.9843750    
10820      svchost                        8               Нет доступа               Работает             Нет доступа         
13096      ShellExperienceHost            8               15.01.2025 11:58:58       Работает             00:00:04.2031250    
1512       WidgetService                  8               15.01.2025 11:58:58       Работает             00:00:02.2031250    
1748       RuntimeBroker                  8               15.01.2025 11:58:58       Работает             00:00:01.2500000    
2856       svchost                        8               Нет доступа               Работает             Нет доступа         
12308      RuntimeBroker                  8               15.01.2025 11:58:59       Работает             00:00:01.3125000    
13740      steamwebhelper                 4               15.01.2025 11:59:32       Работает             00:00:34.1875000    
14280      svchost                        8               Нет доступа               Работает             Нет доступа         
6496       sqlservr                       8               Нет доступа               Работает             Нет доступа         
10480      sqlceip                        6               Нет доступа               Работает             Нет доступа         
12588      svchost                        8               Нет доступа               Работает             Нет доступа         
5656       svchost                        8               Нет доступа               Работает             Нет доступа         
14392      svchost                        8               15.01.2025 12:00:01       Работает             00:00:00.6562500    
15068      backgroundTaskHost             8               15.01.2025 12:00:16       Работает             00:00:00.5937500    
14948      browser                        8               15.01.2025 12:00:19       Работает             00:00:11.9531250    
7092       msedgewebview2                 8               15.01.2025 12:01:08       Работает             00:00:34.0781250    
14612      msedgewebview2                 8               15.01.2025 12:01:09       Работает             00:00:00.5781250    
7804       msedgewebview2                 10              15.01.2025 12:01:09       Работает             00:00:33.9843750    
11388      msedgewebview2                 8               15.01.2025 12:01:09       Работает             00:00:16.7343750    
13672      msedgewebview2                 8               15.01.2025 12:01:09       Работает             00:00:02.2812500    
7256       msedgewebview2                 4               15.01.2025 12:01:09       Работает             00:02:39.7343750    
10196      AMDRSSrcExt                    8               15.01.2025 12:03:40       Работает             00:01:08.6718750    
10116      LockApp                        8               15.01.2025 12:26:37       Работает             00:00:07.5468750    
2596       RuntimeBroker                  8               15.01.2025 12:26:37       Работает             00:00:14.7500000    
3844       svchost                        8               Нет доступа               Работает             Нет доступа         
16956      svchost                        8               Нет доступа               Работает             Нет доступа         
2360       browser                        8               15.01.2025 22:51:53       Работает             00:01:46.3750000    
16684      taskhostw                      8               15.01.2025 22:59:57       Работает             00:00:01.3906250    
408        msedgewebview2                 8               15.01.2025 23:11:55       Работает             00:00:00.8906250    
10120      FileCoAuth                     8               16.01.2025 10:19:00       Работает             00:00:01.9218750    
2436       dllhost                        8               16.01.2025 10:27:22       Работает             00:00:00.2031250    
15992      svchost                        8               Нет доступа               Работает             Нет доступа         
13300      svchost                        8               Нет доступа               Работает             Нет доступа         
14204      svchost                        8               Нет доступа               Работает             Нет доступа         
12636      ProtonVPN.WireguardService     8               Нет доступа               Работает             Нет доступа         
13836      MoNotificationUx               8               17.01.2025 11:54:42       Работает             00:00:00.1875000    
14424      SnippingTool                   8               17.01.2025 12:27:13       Работает             00:00:05.4687500    
17672      dllhost                        8               17.01.2025 12:27:15       Работает             00:00:00.0312500    
11960      browser                        4               17.01.2025 13:02:10       Работает             00:00:01.6562500    
18364      browser                        4               17.01.2025 13:05:50       Работает             00:00:04.0312500    
10328      browser                        4               17.01.2025 13:05:51       Работает             00:00:10.0156250    
15484      browser                        4               17.01.2025 13:05:51       Работает             00:00:01            
18368      browser                        4               17.01.2025 13:07:03       Работает             00:00:02.2656250    
8708       WINWORD                        8               17.01.2025 13:07:57       Работает             00:03:59.5156250    
6132       WINWORD                        8               17.01.2025 13:07:58       Работает             00:01:28.7187500    
10324      RuntimeBroker                  8               17.01.2025 13:08:08       Работает             00:00:00.1093750    
16160      DataExchangeHost               10              17.01.2025 14:57:05       Работает             00:00:01.8281250    
6916       devenv                         8               17.01.2025 14:59:46       Работает             00:03:33.8437500    
18132      PerfWatson2                    8               17.01.2025 14:59:49       Работает             00:00:26.5781250    
3608       Microsoft.ServiceHub.Controller 8               17.01.2025 14:59:50       Работает             00:00:05.5625000    
2932       ServiceHub.VSDetouredHost      8               17.01.2025 14:59:51       Работает             00:00:04.7187500    
17336      ServiceHub.ThreadedWaitDialog  8               17.01.2025 14:59:53       Работает             00:00:05.8281250    
6964       ServiceHub.RoslynCodeAnalysisService 8               17.01.2025 14:59:59       Работает             00:00:34.7031250    
17668      ServiceHub.IdentityHost        8               17.01.2025 14:59:59       Работает             00:00:04.6406250    
8664       ServiceHub.IntellicodeModelService 8               17.01.2025 15:00:01       Работает             00:00:03.8593750    
8480       ServiceHub.Host.dotnet.x64     8               17.01.2025 15:00:01       Работает             00:00:04.7656250    
3588       ServiceHub.Host.AnyCPU         8               17.01.2025 15:00:01       Работает             00:00:16.9843750    
7496       ServiceHub.IndexingService     6               17.01.2025 15:00:01       Работает             00:00:02.9062500    
4116       ServiceHub.TestWindowStoreHost 8               17.01.2025 15:00:08       Работает             00:00:02.3593750    
4372       browser                        4               17.01.2025 15:06:52       Работает             00:00:02.2187500    
9492       ShellHost                      8               17.01.2025 15:11:05       Работает             00:00:00.6406250    
16168      svchost                        8               Нет доступа               Работает             Нет доступа         
17432      browser                        4               17.01.2025 15:19:39       Работает             00:00:12.6406250    
4308       browser                        4               17.01.2025 15:19:43       Работает             00:00:01.9531250    
17244      browser                        4               17.01.2025 15:19:43       Работает             00:00:00.8281250    
15284      svchost                        8               Нет доступа               Работает             Нет доступа         
2408       devenv                         8               17.01.2025 15:55:59       Работает             00:01:40.0312500    
22468      PerfWatson2                    8               17.01.2025 15:56:00       Работает             00:00:14.6562500    
11728      Microsoft.ServiceHub.Controller 8               17.01.2025 15:56:01       Работает             00:00:02.5468750    
21072      ServiceHub.VSDetouredHost      8               17.01.2025 15:56:02       Работает             00:00:02.4375000    
13064      ServiceHub.ThreadedWaitDialog  8               17.01.2025 15:56:03       Работает             00:00:03.3750000    
17560      ServiceHub.RoslynCodeAnalysisService 8               17.01.2025 15:56:06       Работает             00:00:16.2968750    
1800       ServiceHub.IdentityHost        8               17.01.2025 15:56:07       Работает             00:00:02.8125000    
